cuisine,name,price,rating,url
Tacos,O'Tacos,$$,4.3,https://food.jumia.dz/restaurant/a6bo/otacos
Tacos Pizza,La Marguerite,$$,4.3,https://food.jumia.dz/restaurant/a4mv/la-marguerite
Tacos,La Baraque à Tacos,$,4.5,https://food.jumia.dz/restaurant/a1gq/la-baraque-a-tacos
Tacos Pizza,Mega pizza,$,4.4,https://food.jumia.dz/restaurant/a5ru/mega-pizza
Hypermarché,Mini Market,$,2.5,https://food.jumia.dz/restaurant/a7yj/cheraga-dar-diaf
Hypermarché,Superette Kheyar kouba,$,5,https://food.jumia.dz/restaurant/a9kx/superette-kheyar
Hypermarché,Seven superette,$,4.8,https://food.jumia.dz/restaurant/a5ns/seven-superette
Burger,Casse Croute Saïd Hamdine,$,4,https://food.jumia.dz/restaurant/a8xi/casse-croute-said-hamdine
Kebab Sandwichs Burger,Mâkel,$,4.1,https://food.jumia.dz/restaurant/a7uu/makel
Pizza,Pizza Happy,$,3.9,https://food.jumia.dz/restaurant/a5cm/happy-pizza
,Select,,0,https://food.jumia.dz/restaurant/a6rh/select
,Select Restaurant,,0,https://food.jumia.dz/restaurant/a9pw/select-restaurant
Burger,Lo Bueno,$,0,https://food.jumia.dz/restaurant/a2fc/lo-bueno
Grillades,Que Aproveche,$,0,https://food.jumia.dz/restaurant/a6gg/que-aproveche
Pizza,Woodpecker Barthes,$$,0,https://food.jumia.dz/restaurant/a1jo/woodpecker-barthes
Hypermarché,A 2 pas superette,$,0,https://food.jumia.dz/restaurant/a3cx/a-2-pas-superette
Hypermarché,قفة رمضان,$,2.4,https://food.jumia.dz/restaurant/a6oi/koffat-ramdane
Pizza,Jumia Food Test Restaurant 3,$,0,https://food.jumia.dz/restaurant/a9ws/jumia-food-test-restaurant-3
Pizza,Pizza Hut,$$,3.9,https://food.jumia.dz/restaurant/a3mt/pizza-hut-vendor
Pizza,Pizza Hut,$$,4.1,https://food.jumia.dz/restaurant/a3zw/pizza-hut-sidi-yahia
Tacos,Tacos Gratinados,$$,4.5,https://food.jumia.dz/restaurant/a7ls/tacos-gratinados
Cuisine Indienne,Taj Mahal Ben Aknoun,$$$,4.5,https://food.jumia.dz/restaurant/a7de/taj-mahal-ben-aknoun
Sandwichs Tacos Burger,Crispy Burger,$$,4.4,https://food.jumia.dz/restaurant/a3co/crispy-burger
Cuisine Indienne,Taj Mahal Cheraga,$$$,4.4,https://food.jumia.dz/restaurant/a0cp/taj-mahal-cheraga
Pizza,Pizza Time Sidi Yahia,$$,4.6,https://food.jumia.dz/restaurant/a9rx/pizza-time
Burger Pizza Salades Sandwichs Tacos,Lookers Restaurant & Snack,$$,4.4,https://food.jumia.dz/restaurant/a9yi/lookers-restaurant
Kebab Cuisine Orientale,Casbah Istanbul,$$$,4.6,https://food.jumia.dz/restaurant/a9gn/casbah-istanbul-ben-aknoun
Chocolat Sucré - Desserts,Crêperie Poffertjes,$,4.3,https://food.jumia.dz/restaurant/a8xs/creperie-poffertjes
Cuisine Indienne,Maharaja,$$$,4.5,https://food.jumia.dz/restaurant/a1wu/maharaja
Kebab Cuisine Orientale,Casbah Istanbul,$$$,4.4,https://food.jumia.dz/restaurant/a1ne/casbah-istanbul-bab-ezzouar
Grillades Cuisine Orientale,Val Street,$$$,4.3,https://food.jumia.dz/restaurant/a2ca/val-street
Burger Cuisine Méditerranéenne Healthy Food pâtes Salades Sucré - Desserts Pizza,Backstreet,$,4.4,https://food.jumia.dz/restaurant/a4nf/backstreet
Sandwichs Tacos Burger,Strelitzia,$$,4.4,https://food.jumia.dz/restaurant/a7fe/strelitzia
Sandwichs Sucré - Desserts Burger,Beef Burger,$,4.4,https://food.jumia.dz/restaurant/a1wn/beef-burger
Café Chocolat Glace Sucré - Desserts,Lookers Coffee,$,4.8,https://food.jumia.dz/restaurant/a8ku/lookers-coffee
Cuisine Indienne,Maharaja,$$$,4.4,https://food.jumia.dz/restaurant/a7pi/maharaja-vendor-1
Grillades Pizza Tacos Burger,American Diner,$$,4.3,https://food.jumia.dz/restaurant/a4nh/american-diner
Pâtisserie et Boulangerie Sucré - Desserts,La Patisserie by Lucas Castello- Dely Ibrahim,$,4.3,https://food.jumia.dz/restaurant/a5ge/la-patisserie-by-lucas-castello-dely-ibrahim
Chocolat Sucré - Desserts,Bubble Waffle,$,4.4,https://food.jumia.dz/restaurant/a7wk/bubble-waffle
Burger,La Plancha,$$,4.4,https://food.jumia.dz/restaurant/a0qh/la-plancha
Cuisine Méditerranéenne,La Belle Époque,$,4.3,https://food.jumia.dz/restaurant/a4wq/la-belle-epoque
Burger Tacos Pizza,Le Bucheron,$,4.6,https://food.jumia.dz/restaurant/a6iv/le-bucheron
Cuisine Algérienne Cuisine Traditionnelle,La Palmeraie,$$$,4.2,https://food.jumia.dz/restaurant/a2qh/la-palmeraie
Pizza,Miam's Pizza,$$,4.5,https://food.jumia.dz/restaurant/a7cz/miam-s-pizza
Burger,Strelitzia Hydra,$$,4.3,https://food.jumia.dz/restaurant/a7jr/strelitzia-hydra
Cuisine Orientale Grillades Libanais Pizza Salades Sandwichs Tacos Burger,Sultan,$$,4.3,https://food.jumia.dz/restaurant/a1bc/sultan
Burger,Salta3 Burger,$,4.5,https://food.jumia.dz/restaurant/a1cl/salta3-burger
Kebab,Abracadabra Kebab Chéraga,$$,4.3,https://food.jumia.dz/restaurant/a3gj/abracadabra-kebab-cheraga
Pizza,L'Atelier Du Pizzaiolo,$$,4.4,https://food.jumia.dz/restaurant/a4du/l-atelier-du-pizzaiolo
Cuisine Asiatique,La Cité Interdite,$$$,4.3,https://food.jumia.dz/restaurant/a2wk/la-cite-interdite
Burger,Mc Cool,$,4.4,https://food.jumia.dz/restaurant/a3at/mc-cool-burgers
Pizza,Paris'dza,$$$,4.7,https://food.jumia.dz/restaurant/a0xs/paris-dza
Cuisine Orientale Pizza Sandwichs,Spuntino- Cuisine Tunisenne,$,4,https://food.jumia.dz/restaurant/a3dn/spuntino-cuisine-tunisenne
Salades Sandwichs Tacos Fried Chicken,Spicy Chicken,$$,4.3,https://food.jumia.dz/restaurant/a7jc/spicy-chicken
Pizza,Anes Food Family,$,4.5,https://food.jumia.dz/restaurant/a9wg/anes-food-family
Glace Pizza,Yogorino & Pizza au Feu de Bois,$$,4.3,https://food.jumia.dz/restaurant/a3ih/yogorino
Pizza,Al Forno,$$,4.3,https://food.jumia.dz/restaurant/a7wj/al-forno-vendor-2
Cuisine Indienne,Maharaja,$$$,4.3,https://food.jumia.dz/restaurant/a3li/maharaja-vendor
Pizza,Pizza Domino,$$,4.2,https://food.jumia.dz/restaurant/a6wf/pizza-domino
Burger Tacos,So' Tacos,$,4.3,https://food.jumia.dz/restaurant/a8oj/so-tacos
Pizza,Pizza Nostra - Pizza Au Feu De Bois,$,4.4,https://food.jumia.dz/restaurant/a2mh/pizza-nostra
Healthy Food Libanais Cuisine Orientale,Cédrus Restaurant,$$,4.1,https://food.jumia.dz/restaurant/a6rb/cedrus-restaurant
Burger Pizza Sandwichs Tacos,H&M Boof,$$,4.1,https://food.jumia.dz/restaurant/a6wo/h-m-boof
Fruits de Mer Grillades Salades Pizza,Hollywood Pizza,$$,4.2,https://food.jumia.dz/restaurant/a7ib/hollywood-pizza
Sandwichs Tacos Burger,Castellane Burger,$,4.3,https://food.jumia.dz/restaurant/a3xa/castellane-burger
Pâtisserie,Pâtisserie mille délices,$$,5,https://food.jumia.dz/restaurant/a6ja/patisserie-mille-delices
Burger Sandwichs Tacos,Tamgout,$,4.2,https://food.jumia.dz/restaurant/a1pf/tamgout
Cuisine Indienne,Taste Of India,$$$,4.1,https://food.jumia.dz/restaurant/a6tn/taste-of-india
Glace Grillades Pizza,La Cabane,$$,4.1,https://food.jumia.dz/restaurant/a9ya/la-cabane
Burger Sandwichs,KYZ Frais Maison,$,4.3,https://food.jumia.dz/restaurant/a6go/kyz-frais-maison
Burger,Cesar Burgers,$,0,https://food.jumia.dz/restaurant/a6bu/cesar-burgers
Salades Pizza,La Perla Nera,$,4.5,https://food.jumia.dz/restaurant/a5am/la-perla-nera
Pizza,Forno Gusto,$$,4.2,https://food.jumia.dz/restaurant/a0gd/forno-gusto
Burger,Big American Burger,$,4.2,https://food.jumia.dz/restaurant/a4js/big-american-burger
